Date,Time,Location,Operator,Route,AC Type,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary,time_of_day,Fatalities_degree,date_time,year,month,Season,all_died,time_period,reasons
09/19/1960,06:02,"Agana, Guam, Mariana Islands",World Airways,Guam - Wake Island,Douglas DC-6AB,94.0,86.0,8.0,80.0,73.0,7.0,0.0,"The aircraft was carrying American servicemen and dependants. Less than a minute after taking off, the aircraft crashed on Mt. Barrigada bursting into flames on impact. The casualties were more attributable to the effects of the fire than the crash. Failure of the pilot to comply with published departure procedures by initiating a right turn before attaining an altitude of 1,000 ft.",Morning,50-100 Fatalities,1960-09-19 06:02:00,1960,September,Autumn,False,1952-1962,the aircraft was carrying american servicemen and dependants less than a minute after taking off the aircraft crashed on mt barrigada bursting into flames on impact the casualties were more attributable to the effects of the fire than the crash failure of the pilot to comply with published departure procedures by initiating a right turn before attaining an altitude of 1000 ft
09/22/1960,14:10,"Off Naha, Okinawa",Military - U.S. Navy,"Atsugi, Japan - Subi Point, Philippines",Douglas R5D-3,29.0,26.0,3.0,29.0,26.0,3.0,0.0,The plane crashed after transmitting a message that the No. 3 engine was on fire and they were diverting to Okinawa. The fire in the No. 3 engine was extinguished but a residual fire continued in a tire until it ignited the fuel tank resulting in an explosion.,Afternoon,20-50 Fatalities,1960-09-22 14:10:00,1960,September,Autumn,True,1952-1962,the plane crashed after transmitting a message that the no 3 engine was on fire and they were diverting to okinawa the fire in the no 3 engine was extinguished but a residual fire continued in a tire until it ignited the fuel tank resulting in an explosion
09/22/1960,14:10,"Campbell Lake, Quebec Canada",Wheeler Airlines,Campbell Lake - St Jovite,Noorduyn Norseman,4.0,3.0,1.0,3.0,2.0,1.0,0.0,"Shortly after takeoff from Campbell Lake, while climbing, the single engine aircraft stalled and crashed in flames in a wooded area. The pilot and two passengers were killed while a third passenger was seriously injured.  Engine failure.",Evening,0-5 Fatalities,1960-09-22 14:10:00,1960,September,Autumn,False,1952-1962,shortly after takeoff from campbell lake while climbing the single engine aircraft stalled and crashed in flames in a wooded area the pilot and two passengers were killed while a third passenger was seriously injured  engine failure
09/26/1960,23:40,"Moscow, Russia",Austrian Airlines,Warsaw - Moscow,Vickers Viscount 837,37.0,31.0,6.0,31.0,26.0,5.0,0.0,"Crashed on approach to Moscow, 11 nm short of the runway. Malfunctioning or misread altimeter.",Evening,20-50 Fatalities,1960-09-26 23:40:00,1960,September,Autumn,False,1952-1962,crashed on approach to moscow 11 nm short of the runway malfunctioning or misread altimeter
09/28/1960,23:40,"Near Juchetipec, Mexico",Mexicana,Tapachula - Mexico City,Douglas DC-3 (C-53-DO),18.0,15.0,3.0,8.0,5.0,3.0,0.0,"Crashed on the slopes of a mountain near Juchitepec, about 40 km south of Mexico City Airport in dense fog.",Afternoon,5-10 Fatalities,1960-09-28 23:40:00,1960,September,Autumn,False,1952-1962,crashed on the slopes of a mountain near juchitepec about 40 km south of mexico city airport in dense fog
09/29/1960,12:15,"Off Elba, Italy",United Arab Airlines,Geneva - Rome,Vickers Viscount 739B,21.0,17.0,4.0,21.0,17.0,4.0,0.0,Crashed  into the Tyrrhenian Sea off Elba after penetrating severe thunderstorm.,Afternoon,20-50 Fatalities,1960-09-29 12:15:00,1960,September,Autumn,True,1952-1962,crashed  into the tyrrhenian sea off elba after penetrating severe thunderstorm
10/04/1960,17:40,"Boston, Massachusetts",Eastern Air Lines,Boston - Philadelphia,Lockheed 188A Electra,72.0,67.0,5.0,62.0,59.0,3.0,0.0,"A few seconds after becoming airborne, the aircraft struck a flock of starlings. A number of these birds were ingested in engines No. 1, 2, and 4.  Engine No. 1 was shut down and its propeller was feathered. Engines No. 2 and 4 experienced a substantial momentary loss of power. This abrupt and intermittent loss and recovery of power resulted in the aircraft yawing to the left and decelerating to the stall speed. As speed decayed during the continued yaw and skidding left turn, the stall speed was reached; the left wing dropped, the nose pitched up, and the aircraft rolled left into a spin and fell almost vertically into the water. An altitude of less than 150 feet precluded recovery.",Afternoon,50-100 Fatalities,1960-10-04 17:40:00,1960,October,Autumn,False,1952-1962,a few seconds after becoming airborne the aircraft struck a flock of starlings a number of these birds were ingested in engines no 1 2 and 4  engine no 1 was shut down and its propeller was feathered engines no 2 and 4 experienced a substantial momentary loss of power this abrupt and intermittent loss and recovery of power resulted in the aircraft yawing to the left and decelerating to the stall speed as speed decayed during the continued yaw and skidding left turn the stall speed was reached the left wing dropped the nose pitched up and the aircraft rolled left into a spin and fell almost vertically into the water an altitude of less than 150 feet precluded recovery
10/14/1960,15:50,"Elba, Italy",Itavia,Rome - Genoa,de Havilland DH-114 Heron 2,11.0,7.0,4.0,11.0,7.0,4.0,0.0,Hit Mt. Capanne while en route.  Cause unknown.,Afternoon,10-20 Fatalities,1960-10-14 15:50:00,1960,October,Autumn,True,1952-1962,hit mt capanne while en route  cause unknown
10/15/1960,15:50,"Plain City, Utah",Capitol Airways,Rapid City - Ogden,Curtiss C-46F,2.0,0.0,2.0,2.0,0.0,2.0,0.0,"The right wing of the cargo plane separated from the aircraft at 6,500 ft. Fatigue of the right wing lower attach angle bolts resulting in an in-flight wing failure.",Evening,0-5 Fatalities,1960-10-15 15:50:00,1960,October,Autumn,True,1952-1962,the right wing of the cargo plane separated from the aircraft at 6500 ft fatigue of the right wing lower attach angle bolts resulting in an inflight wing failure
10/21/1960,21:14,"Ust-Orda, Russia",Aeroflot,Moscow - Omsk - Irkutsk - Khabarovsk,Tupolev Tu-104A,3.0,0.0,3.0,3.0,0.0,3.0,0.0,Crashed after a premature descent. The decision by the captain to perform a go-around was ccrrect but the very low pass above the runway was unacceptable.,Evening,0-5 Fatalities,1960-10-21 21:14:00,1960,October,Autumn,True,1952-1962,crashed after a premature descent the decision by the captain to perform a goaround was ccrrect but the very low pass above the runway was unacceptable
10/28/1960,11:39,"Near Missoula, Montana",Northwest Orient Airlines,Spokane - Missoula,Douglas C-54A-DC,12.0,8.0,4.0,12.0,8.0,4.0,0.0,"Crashed into mountains in snow showers while descending to Missoula. The aircraft entered a steep left banking turn and the nose was raised in an apparent attempt to turn and climb out through an intersecting valley, however, the aircraft continued to sink toward the ground, rolled to the left and crashed inverted. The failure of the pilot to continue in accordance with his IFR flight plan by attempting a VFR approach during instrument weather conditions.",Morning,10-20 Fatalities,1960-10-28 11:39:00,1960,October,Autumn,True,1952-1962,crashed into mountains in snow showers while descending to missoula the aircraft entered a steep left banking turn and the nose was raised in an apparent attempt to turn and climb out through an intersecting valley however the aircraft continued to sink toward the ground rolled to the left and crashed inverted the failure of the pilot to continue in accordance with his ifr flight plan by attempting a vfr approach during instrument weather conditions
10/29/1960,22:02,"Toledo, Ohio",Arctic Pacific,"Toledo - Kansas City, MO",Curtiss C-46F-1-CU,48.0,45.0,3.0,22.0,20.0,2.0,0.0,"Crashed after taking off from Toledo Express Airfield, landing 5,800 ft. beyond the runway threshold. Sixteen members of the California State  Polytechnic College,  San Luis Obispo football team killed. Premature lift-off, partial loss of power in the No.1 engine, overweight aircraft and weather conditions were the cause of the crash.",Evening,20-50 Fatalities,1960-10-29 22:02:00,1960,October,Autumn,False,1952-1962,crashed after taking off from toledo express airfield landing 5800 ft beyond the runway threshold sixteen members of the california state  polytechnic college  san luis obispo football team killed premature liftoff partial loss of power in the no1 engine overweight aircraft and weather conditions were the cause of the crash
10/29/1960,22:02,"Key West, Florida",Cubana de Aviacion,"Havana, Cuba - 	Nueva Gerona",Douglas DC-3,37.0,34.0,3.0,1.0,1.0,0.0,0.0,Ten minutes into the flight the copilot grabbing the air marshall and forcing the pilot at gunpoint to head to Key West. A shooting erupted and the air marshall was killed. A total of nine persons were involved in the hijacking.,Evening,0-5 Fatalities,1960-10-29 22:02:00,1960,October,Autumn,False,1952-1962,ten minutes into the flight the copilot grabbing the air marshall and forcing the pilot at gunpoint to head to key west a shooting erupted and the air marshall was killed a total of nine persons were involved in the hijacking
11/05/1960,22:02,"Bhairawa, Nepal",Royal Nepal Airlines,Bairahawa - Kathmandu,Douglas C-47A,4.0,0.0,4.0,4.0,0.0,4.0,0.0,"While in  the initial climb, the plane stalled and crashed in a huge explosion.",Evening,0-5 Fatalities,1960-11-05 22:02:00,1960,November,Autumn,True,1952-1962,while in  the initial climb the plane stalled and crashed in a huge explosion
11/07/1960,22:02,"Near Quito, Ecuador",AREA,Guayaquil - Quito,Fairchild F-27A,37.0,34.0,3.0,37.0,34.0,3.0,0.0,Crashed into a mountain 20 miles south of the airport while on approoach to Quito-Mariscal Sucre Airport.,Evening,20-50 Fatalities,1960-11-07 22:02:00,1960,November,Autumn,True,1952-1962,crashed into a mountain 20 miles south of the airport while on approoach to quitomariscal sucre airport
11/23/1960,18:45,"Manila, Philippines",Philippine Air Lines,Iloilo - Manila,Douglas DC-3,33.0,29.0,4.0,33.0,29.0,4.0,0.0,Crashed into Mt. Baco while en route. Navigational error under adverse weather conditions.,Evening,20-50 Fatalities,1960-11-23 18:45:00,1960,November,Autumn,True,1952-1962,crashed into mt baco while en route navigational error under adverse weather conditions
12/04/1960,22:53," Chernovo, Russia",Aeroflot,	Syktyvkar - Moscow,Ilyushin 14M,14.0,9.0,5.0,14.0,9.0,5.0,0.0,The right engine caught fire. The crew initiated an emergency  descent from which the right wing broke off  causing the aircraft to crash.,Evening,10-20 Fatalities,1960-12-04 22:53:00,1960,December,Winter,True,1952-1962,the right engine caught fire the crew initiated an emergency  descent from which the right wing broke off  causing the aircraft to crash
12/07/1960,22:53,"Cachimbo, Brazil",REAL,Cuiaba - Manaus,Curtiss C-46A-60-CK,15.0,13.0,2.0,15.0,13.0,2.0,0.0,"The No.2 engine failed while en route. The aircraft lost altitude, crashed in a jungle and burned. Starboard engine failed to feather for reasons unknown.",Evening,10-20 Fatalities,1960-12-07 22:53:00,1960,December,Winter,True,1952-1962,the no2 engine failed while en route the aircraft lost altitude crashed in a jungle and burned starboard engine failed to feather for reasons unknown
12/11/1960,19:50,"San Andres de Giles, Argentina",Military - Argentine Air Force,Lima - Antofagasta - El Palomar,Avro 691 Lancastrian IV,31.0,23.0,8.0,31.0,23.0,8.0,0.0,"The domestic flight cashed and burned in heavy rain, 100 miles from it's destination. Pilot error. Flying VFR in adverse weather conditions.",Evening,20-50 Fatalities,1960-12-11 19:50:00,1960,December,Winter,True,1952-1962,the domestic flight cashed and burned in heavy rain 100 miles from its destination pilot error flying vfr in adverse weather conditions
12/16/1960,10:33,"Staten Island / Brooklyn, New York",United Air Lines / Trans World Airlines,Chicago - New York City / Columbus - New York City,MD DC-8-11 / Lockheed  1049 S Const,128.0,116.0,12.0,128.0,116.0,12.0,6.0,"A midair collision took place over Staten Island at 5,000 ft. The Connie was cleared to land at La Guardia Airport on Runway 04 when the United DC-8 struck the Connie tearing it apart. The Connie immediately crashed to the ground at Miller Army Air Field on Staten Island. One passenger was sucked out into one of the DC8s jet engines. Other passengers fell from the Connie as the spinning fuselage fell onto Staten Island. The United jet tried to make an emergency landing at La Guardia Airport but could not maintain altitude and crashed into the streets of Brooklyn. Forty-four passengers on the Constellation and eight-four passengers on the DC-8 were killed. Three passengers from the DC-8 died shortly after. One young boy, Stephen Baltz survived several days before succumbing to his injuries. Six people were also killed on the ground. The United crew entered a low-altitude holding pattern at 500 miles per hour, twice the speed it should have been going and flew past the clearance limits and airspace allocated to the flight. One of 2 VORs on the DC-8 was not functioning. Although the crew knew this, they failed to report this to the ATC, who probably would have provided extra radar assistance.",Morning,Greater than 100 Fatalities,1960-12-16 10:33:00,1960,December,Winter,True,1952-1962,a midair collision took place over staten island at 5000 ft the connie was cleared to land at la guardia airport on runway 04 when the united dc8 struck the connie tearing it apart the connie immediately crashed to the ground at miller army air field on staten island one passenger was sucked out into one of the dc8s jet engines other passengers fell from the connie as the spinning fuselage fell onto staten island the united jet tried to make an emergency landing at la guardia airport but could not maintain altitude and crashed into the streets of brooklyn fortyfour passengers on the constellation and eightfour passengers on the dc8 were killed three passengers from the dc8 died shortly after one young boy stephen baltz survived several days before succumbing to his injuries six people were also killed on the ground the united crew entered a lowaltitude holding pattern at 500 miles per hour twice the speed it should have been going and flew past the clearance limits and airspace allocated to the flight one of 2 vors on the dc8 was not functioning although the crew knew this they failed to report this to the atc who probably would have provided extra radar assistance
12/17/1960,14:10,"Munich, West Germany",Military - U.S. Air Force,"Munich - Northolt AB, England",Convair C-131D (CV-340-79),20.0,13.0,7.0,20.0,13.0,7.0,31.0,"The aircraft lost an engine on takeoff from Munich. Unable to maintain altitude, the aircraft crashed into St. Paul's Cathedral church and into a crowded streetcar in the business section of the city, breeching a gas main and starting a fierce fire, Thirty-one people were killed on the ground. A collection of water was found in the fuel tank booster pump. Fuel contamination causing engine failure.",Afternoon,20-50 Fatalities,1960-12-17 14:10:00,1960,December,Winter,True,1952-1962,the aircraft lost an engine on takeoff from munich unable to maintain altitude the aircraft crashed into st pauls cathedral church and into a crowded streetcar in the business section of the city breeching a gas main and starting a fierce fire thirtyone people were killed on the ground a collection of water was found in the fuel tank booster pump fuel contamination causing engine failure
12/22/1960,12:31,"Cebu City, Philippines",Philippine Air Lines,Cebu - Davao,Douglas DC-3,37.0,34.0,3.0,28.0,26.0,2.0,0.0,Crashed on takeoff. Failure of the No. 1 engine shortly after take-off but after V2. Inappropriate emergency procedures by crew.,Afternoon,20-50 Fatalities,1960-12-22 12:31:00,1960,December,Winter,False,1952-1962,crashed on takeoff failure of the no 1 engine shortly after takeoff but after v2 inappropriate emergency procedures by crew
12/26/1960,19:42,"Near Ulyanovsk, Russia",Aeroflot,Kuibyshev - Ulyanovsk,Ilyushin IL-18A,17.0,13.0,4.0,17.0,13.0,4.0,0.0,Loss of control resulted after 40 degrees flaps was selected causing the plane to crash. Icing.,Evening,10-20 Fatalities,1960-12-26 19:42:00,1960,December,Winter,True,1952-1962,loss of control resulted after 40 degrees flaps was selected causing the plane to crash icing
01/02/1961,19:42,"Ruzyne, Czechoslovakia",Ceskoslovenske Aerolinie,Training,Avia 14,10.0,5.0,5.0,10.0,5.0,5.0,0.0,"Unable to gain altitude, the aircraft crashed into power cables during takeoff.",Afternoon,10-20 Fatalities,1961-01-02 19:42:00,1961,January,Winter,True,1952-1962,unable to gain altitude the aircraft crashed into power cables during takeoff
01/03/1961,07:40,"Koivulahti, Finland",Finnair,Kokkola - Vaasa,Douglas DC-3,25.0,22.0,3.0,25.0,22.0,3.0,0.0,"Crashed into woods while attempting to land. Both pilots tested positive for alcohol.  In addition, the pilot did not have enough sleep the night before and was not considered to be in satisfactory mental and physical condition to undertake the flight.",Morning,20-50 Fatalities,1961-01-03 07:40:00,1961,January,Winter,True,1952-1962,crashed into woods while attempting to land both pilots tested positive for alcohol  in addition the pilot did not have enough sleep the night before and was not considered to be in satisfactory mental and physical condition to undertake the flight
01/19/1961,20:25,"New York, New York (Idlewild)",Aeronaves de Mexico,New York - Mexico City,McDonnell Douglas DC-8-21,106.0,97.0,9.0,4.0,0.0,4.0,0.0,"An aborted takeoff caused the aircraft to crash through the airport barrier fence and burst into flames. The unnecessary discontinuance of the takeoff as a result of actions by the check-pilot who was either not in the pilot's seat or reached forward without warning and pulling the throttles back. This action caused power to be decreased on all four engines. Contributing factors were the marginally poor weather, snow on the runway and the possibility of the pitot head heat not being on.",Evening,0-5 Fatalities,1961-01-19 20:25:00,1961,January,Winter,False,1952-1962,an aborted takeoff caused the aircraft to crash through the airport barrier fence and burst into flames the unnecessary discontinuance of the takeoff as a result of actions by the checkpilot who was either not in the pilots seat or reached forward without warning and pulling the throttles back this action caused power to be decreased on all four engines contributing factors were the marginally poor weather snow on the runway and the possibility of the pitot head heat not being on
01/22/1961,03:04,Midway Island Naval Air Station,Military - U.S. Navy,Survey,Lockheed WV-2 Super Constellation,22.0,0.0,22.0,6.0,0.0,6.0,3.0,"While returning from an aborted barrier mission, the aircraft hit a seawall at end of short runway. The main landing geart was sheared off and the aircraft cartwheeled, slid into a vehicle, exploded and burned.",Night,5-10 Fatalities,1961-01-22 03:04:00,1961,January,Winter,False,1952-1962,while returning from an aborted barrier mission the aircraft hit a seawall at end of short runway the main landing geart was sheared off and the aircraft cartwheeled slid into a vehicle exploded and burned
01/24/1961,10:48,"Mt. Burangrang, Indonesia",Garuda Indonesia Airlines,Jakarta - Bandung,Douglas DC-3,21.0,16.0,5.0,21.0,16.0,5.0,0.0,The aircraft struck Mt. Burangrang . Attempt by the pilot to fly over mountainous terrain when unsure of his position and in weather conditions which severely restricted visibility.,Morning,20-50 Fatalities,1961-01-24 10:48:00,1961,January,Winter,True,1952-1962,the aircraft struck mt burangrang  attempt by the pilot to fly over mountainous terrain when unsure of his position and in weather conditions which severely restricted visibility
01/26/1961,03:30,"Trinity Bay, Newfoundland",Military - U.S. Air Force,Kenitra - Lajes - Argentia - Norfork,Douglas C-118A Liftmaster,23.0,13.0,10.0,23.0,13.0,10.0,0.0,"While approaching Argentia-Bristol Field, the  aircraft crashed into the Trinity Bay about 50 km northeast of Argentia. It is believed the aircraft disintegrated in the air possibly following a mechanical issue. However, due to a lack of evidence,  it was not possible to determine the exact cause of the accident.",Night,20-50 Fatalities,1961-01-26 03:30:00,1961,January,Winter,True,1952-1962,while approaching argentiabristol field the  aircraft crashed into the trinity bay about 50 km northeast of argentia it is believed the aircraft disintegrated in the air possibly following a mechanical issue however due to a lack of evidence  it was not possible to determine the exact cause of the accident
01/28/1961,12:20,"Off Montauk Point, New York",American Airlines,Training,Boeing 707-123,6.0,0.0,6.0,6.0,0.0,6.0,0.0,"The aircraaft banked left, entered a dive and eventually crashed into the ocean five miles off shore.",Afternoon,5-10 Fatalities,1961-01-28 12:20:00,1961,January,Winter,True,1952-1962,the aircraaft banked left entered a dive and eventually crashed into the ocean five miles off shore
02/03/1961,23:55,"Off Surabaya, Indonesia",Garuda Indonesia Airlines,Surabaya - Balikpapan,Douglas DC-3,26.0,21.0,5.0,26.0,21.0,5.0,0.0,Disappeared while en route. The wreckage was never found. It is believed the aircraft crashed into the sea off the island of Madura.,Evening,20-50 Fatalities,1961-02-03 23:55:00,1961,February,Winter,True,1952-1962,disappeared while en route the wreckage was never found it is believed the aircraft crashed into the sea off the island of madura
02/15/1961,10:05,"Near Brussels, Belgium",Sabena,New York City - Brussels,Boeing B-707-320,72.0,61.0,11.0,72.0,61.0,11.0,1.0,"The aircraft was about to touchdown on the runway when engine power was increased and the aircraft climbed to 1,500 ft. The aircraft completed 3 left-hand circles. Its attitude increased until it nosed down and crashed. The entire eighteen member U.S. Figure Skating team killed.  Failure of the aircraft's flying controls, possibly jamming of the outboard ailerons or unwanted extension of the spoilers.",Morning,50-100 Fatalities,1961-02-15 10:05:00,1961,February,Winter,True,1952-1962,the aircraft was about to touchdown on the runway when engine power was increased and the aircraft climbed to 1500 ft the aircraft completed 3 lefthand circles its attitude increased until it nosed down and crashed the entire eighteen member us figure skating team killed  failure of the aircrafts flying controls possibly jamming of the outboard ailerons or unwanted extension of the spoilers
03/09/1961,15:00,"Near Caracas, Venezuela",Linea Aeropostal Venezolana,San Antonio-Maiquetia,Douglas DC-3,12.0,8.0,4.0,12.0,8.0,4.0,0.0,Crashed into the slope of a mountain while en route. Navigation error. Failure of the crew to follow the prescribed route. Flying VFR in IFR conditions.,Afternoon,10-20 Fatalities,1961-03-09 15:00:00,1961,March,Spring,True,1952-1962,crashed into the slope of a mountain while en route navigation error failure of the crew to follow the prescribed route flying vfr in ifr conditions
03/25/1961,15:00,"Near Natal, Brazil",Military - Brazilian Air Force,Rio de Janerio - Belem,Douglas C-47DL,28.0,22.0,6.0,23.0,21.0,2.0,0.0,Crashed while attempting to land.,Afternoon,20-50 Fatalities,1961-03-25 15:00:00,1961,March,Spring,False,1952-1962,crashed while attempting to land
03/28/1961,20:08,"Forcheim, Germany",Ceskoslovenske Aerolinie,Prague - Zurich,Ilyushin IL-18,52.0,44.0,8.0,52.0,44.0,8.0,0.0,The aircraft crashed 13.6 miles Northeast of Nürnberg after an intentional descent for unknown reasons led to the disintegration of the aircraft due to structural stress. Possible defective artificial horizon. Possible unnoticed over control of the electrical rudder or aileron trim. Possible physical incapacitation of one or both pilots.,Evening,50-100 Fatalities,1961-03-28 20:08:00,1961,March,Spring,True,1952-1962,the aircraft crashed 136 miles northeast of nürnberg after an intentional descent for unknown reasons led to the disintegration of the aircraft due to structural stress possible defective artificial horizon possible unnoticed over control of the electrical rudder or aileron trim possible physical incapacitation of one or both pilots
04/03/1961,23:57,"Llico, Chile",LAN,Temuco - Santiago,Douglas DC-3,24.0,20.0,4.0,24.0,20.0,4.0,0.0,The plane crashed into La Gotera Hill while on approach to Santiago. The official cause is unknown.  Icing suspected. All members of the Green Cross Chilean soccer team killed. Wreckage found 54 years after the accident.,Evening,20-50 Fatalities,1961-04-03 23:57:00,1961,April,Spring,True,1952-1962,the plane crashed into la gotera hill while on approach to santiago the official cause is unknown  icing suspected all members of the green cross chilean soccer team killed wreckage found 54 years after the accident
04/18/1961,18:10,"Mount Parker, Hong Kong",Military - US Air Force,Hong Kong - Tainan AFB,C-47(DC-3),15.0,12.0,3.0,14.0,11.0,3.0,0.0,The aircraft impacted Mount Parker shortly after taking off in foggy weather conditions.,Evening,10-20 Fatalities,1961-04-18 18:10:00,1961,April,Spring,False,1952-1962,the aircraft impacted mount parker shortly after taking off in foggy weather conditions
05/10/1961,01:12,"Ghadames, Algeria",Air France,"Fort Lamy, Chad - Marseilles, France",Lockheed 1649A Starliner,78.0,69.0,9.0,78.0,69.0,9.0,0.0,"While en route from Fort Lamy, Chad to Marseilles, France, the airliner crashed and burned in the Sahara Desert on the Algeria / Libya border. Detonation of a nitrocellulose bomb.",Night,50-100 Fatalities,1961-05-10 01:12:00,1961,May,Spring,True,1952-1962,while en route from fort lamy chad to marseilles france the airliner crashed and burned in the sahara desert on the algeria  libya border detonation of a nitrocellulose bomb
05/24/1961,02:22,"Near Tacoma, Washington",Military - U.S. Air Force,McChord - Lawton,Douglas C-124A-DL,22.0,16.0,6.0,22.0,16.0,6.0,0.0,"After a night takeoff, while climbing to a height of 500 feet, the airplane went out of control and crashed in a wooded area.",Night,20-50 Fatalities,1961-05-24 02:22:00,1961,May,Spring,True,1952-1962,after a night takeoff while climbing to a height of 500 feet the airplane went out of control and crashed in a wooded area
05/29/1961,14:36,Singapore,Military - Royal Air Force,Traing,Handley Page Hastings C-2,13.0,8.0,5.0,13.0,8.0,5.0,0.0,"Lost an engine, stalled and crashed.",Afternoon,10-20 Fatalities,1961-05-29 14:36:00,1961,May,Spring,True,1952-1962,lost an engine stalled and crashed
05/30/1961,01:20,"Near Lisbon, Portugal",KLM Royal Dutch Airlines,"Rome  - Lisbon -  Madrid - Santa Maria, Azores -Caracas",McDonnell Douglas DC-8-53,61.0,47.0,14.0,61.0,47.0,14.0,0.0,"Five minutes after taking off from Lisbon, Portugal, the aircraft plunged into the Atlantic Ocean. There were indications from the wreckage that the aircraft went into a spiral dive and hit the water at over 500 mph. Either through inattentiveness or loss of an artificial horizon or other instrument malfunction, the aircraft went into a steep left bank from which recovery was not possible. Attitude of the aircraft at the moment of impact pointed to over correction.",Night,50-100 Fatalities,1961-05-30 01:20:00,1961,May,Spring,True,1952-1962,five minutes after taking off from lisbon portugal the aircraft plunged into the atlantic ocean there were indications from the wreckage that the aircraft went into a spiral dive and hit the water at over 500 mph either through inattentiveness or loss of an artificial horizon or other instrument malfunction the aircraft went into a steep left bank from which recovery was not possible attitude of the aircraft at the moment of impact pointed to over correction
06/12/1961,04:11,"Cairo, Egypt",KLM Royal Dutch Airlines,Rome - Cairo,Lockheed L-188C Electra,36.0,29.0,7.0,20.0,17.0,3.0,0.0,"Crashed into a hill  at night during the approach, 4 km short of the runway. Crew's neglect to cockpit duties. Pilot's inattention to his instruments.",Night,20-50 Fatalities,1961-06-12 04:11:00,1961,June,Summer,False,1952-1962,crashed into a hill  at night during the approach 4 km short of the runway crews neglect to cockpit duties pilots inattention to his instruments
06/13/1961,19:33,"Douala, Cameroon",Air Cameroon,Training,Douglas DC-4,5.0,3.0,2.0,5.0,3.0,2.0,0.0,"After liftoff, the airplane encountered difficulties in gaining height when the propeller on the No 2 engine struck a tree located 1,200 meters past the runway end. The airplane continued at low height and struck a second tree, causing a fuel tank to be ruptured and to catch fire. The accident was caused by flight at too low an altitude during a night training exercise.",Evening,5-10 Fatalities,1961-06-13 19:33:00,1961,June,Summer,True,1952-1962,after liftoff the airplane encountered difficulties in gaining height when the propeller on the no 2 engine struck a tree located 1200 meters past the runway end the airplane continued at low height and struck a second tree causing a fuel tank to be ruptured and to catch fire the accident was caused by flight at too low an altitude during a night training exercise
06/17/1961,22:23,"Near Kano, Nigeria",Continentale Deutsche Luftreederei,Tripoli - Kano,Douglas C-54B-1-DC,7.0,5.0,2.0,1.0,1.0,0.0,0.0,"Error in judgement on the part of the captain, who, after sighting the runway lights, concentrated on keeping them in sight and failed to make adequate reference to his flight instruments. As a result, he allowed the aircraft to descend below the obstacle clearance limit of 360ft.  In the darkness, with no ground reference, the runway lights gave him insufficient guidance as to his height and angle of approach and he was unaware that the aircraft had descended to ground level. The fatigue of the captain and the failure to illuminate the aircraft's landing lights were conributing factors.",Evening,0-5 Fatalities,1961-06-17 22:23:00,1961,June,Summer,False,1952-1962,error in judgement on the part of the captain who after sighting the runway lights concentrated on keeping them in sight and failed to make adequate reference to his flight instruments as a result he allowed the aircraft to descend below the obstacle clearance limit of 360ft  in the darkness with no ground reference the runway lights gave him insufficient guidance as to his height and angle of approach and he was unaware that the aircraft had descended to ground level the fatigue of the captain and the failure to illuminate the aircrafts landing lights were conributing factors
06/30/1961,20:57,"Buenos Aires, Argentina",Transcontinental,Salta - Cordoba - Buenos Aires,Curtiss C-46A,35.0,30.0,5.0,24.0,22.0,2.0,0.0,Crashed into a trees and telegraph poles on final approach.The pilot failed to follow the instrument approach procedures during the approach.,Evening,20-50 Fatalities,1961-06-30 20:57:00,1961,June,Summer,False,1952-1962,crashed into a trees and telegraph poles on final approachthe pilot failed to follow the instrument approach procedures during the approach
07/08/1961,19:00,"	Sverdlovsk, Russia",Aeroflot,	Kazan - 	Sverdlovsk,Ilyushin IL-14P,26.0,21.0,5.0,9.0,4.0,5.0,0.0,The plane ran out of fuel and crash landed. Crew did not refuel at Kazan.,Evening,5-10 Fatalities,1961-07-08 19:00:00,1961,July,Summer,False,1952-1962,the plane ran out of fuel and crash landed crew did not refuel at kazan
07/10/1961,10:43,"Odessa, Ukraine, USSR",Aeroflot,Leningrad - Odessa,Tupolev TU-104B,85.0,76.0,9.0,1.0,1.0,0.0,0.0,Hit apporach lights while trying to land in heavy rain.,Morning,0-5 Fatalities,1961-07-10 10:43:00,1961,July,Summer,False,1952-1962,hit apporach lights while trying to land in heavy rain
